city,hour,pm25,pm10,temp,humidity,wind
Delhi,21,80.3,83.1,30.0,84.0,5.1
Delhi,22,81.5,83.8,29.5,88.0,3.5
Delhi,23,80.8,82.7,29.9,85.0,6.4
Delhi,0,77.8,79.4,29.2,89.0,7.5
Delhi,1,74.7,75.9,28.9,88.0,0.5
Delhi,2,71.7,72.9,25.9,96.0,4.3
Delhi,3,69.2,70.1,26.1,97.0,2.3
Delhi,4,67.5,68.2,26.4,99.0,1.8
Delhi,5,70.5,70.8,28.9,92.0,2.8
Delhi,6,73.3,73.8,28.6,94.0,1.3
Delhi,7,68.2,68.7,28.8,85.0,8.8
Delhi,8,52.4,52.9,29.3,83.0,7.4
Delhi,9,47.0,47.5,30.9,75.0,5.0
Delhi,10,43.2,45.1,32.1,70.0,7.1
Delhi,11,41.8,42.8,32.6,67.0,5.6
Delhi,12,41.1,43.9,32.8,65.0,6.5
Delhi,13,41.9,52.2,33.0,66.0,6.5
Delhi,14,42.1,55.9,33.2,66.0,4.1
Delhi,15,41.2,55.2,33.5,63.0,4.7
Delhi,16,40.6,53.1,33.7,57.0,6.1
Delhi,17,40.9,42.7,31.3,74.0,13.1
Delhi,18,43.8,45.2,28.8,84.0,10.1
Delhi,19,46.4,47.5,28.8,86.0,6.9
Delhi,20,46.1,46.7,28.7,90.0,6.7
Delhi,21,45.5,45.9,28.4,91.0,7.1
Delhi,22,45.8,46.3,28.4,90.0,7.4
Delhi,23,45.4,46.6,29.1,89.0,10.3
Delhi,0,43.3,45.2,28.8,90.0,10.2
Delhi,1,39.3,41.2,28.7,88.0,9.9
Delhi,2,33.8,34.7,28.5,87.0,9.8
Delhi,3,29.0,29.5,28.3,87.0,9.9
Delhi,4,38.3,136.9,28.0,86.0,10.5
Delhi,5,37.7,146.2,28.3,83.0,11.6
Delhi,6,32.6,89.4,28.1,84.0,9.7
Delhi,7,27.4,47.5,28.7,81.0,9.2
Delhi,8,21.6,25.4,29.0,79.0,13.1
Delhi,9,20.5,21.8,29.7,75.0,13.3
Delhi,10,21.3,22.1,30.2,72.0,13.7
Delhi,11,22.8,23.3,30.9,70.0,12.4
Delhi,12,22.2,22.6,31.3,66.0,14.5
Delhi,13,20.8,28.2,31.6,67.0,10.8
Delhi,14,21.7,30.4,32.4,67.0,10.6
Delhi,15,20.7,23.7,32.6,66.0,11.5
Delhi,16,20.2,21.4,31.8,69.0,10.7
Delhi,17,31.5,32.0,31.8,69.0,6.7
Delhi,18,35.2,35.5,31.2,73.0,7.2
Delhi,19,36.7,37.0,30.3,79.0,7.4
Delhi,20,36.3,36.8,29.9,82.0,8.1
Delhi,21,34.9,35.6,29.7,82.0,10.6
Delhi,22,33.4,34.3,29.2,84.0,10.3
Delhi,23,31.2,32.1,28.4,86.0,9.2
Delhi,0,28.6,29.5,28.7,86.0,10.7
Delhi,1,41.2,157.9,27.8,90.0,8.7
Delhi,2,49.4,225.8,27.7,87.0,10.1
Delhi,3,52.9,252.4,27.6,88.0,9.3
Delhi,4,52.4,243.1,27.6,89.0,9.0
Delhi,5,25.5,26.5,27.0,93.0,10.0
Delhi,6,26.8,27.8,26.8,92.0,12.3
Delhi,7,27.5,28.6,27.1,88.0,11.6
Delhi,8,26.4,27.4,27.9,83.0,12.1
Delhi,9,25.3,26.0,29.7,76.0,11.4
Delhi,10,34.8,117.8,31.0,70.0,11.7
Delhi,11,27.6,44.8,32.0,66.0,11.4
Delhi,12,30.2,61.0,32.6,66.0,10.3
Delhi,13,30.5,38.1,32.4,67.0,12.1
Delhi,14,30.0,33.6,31.1,73.0,9.0
Delhi,15,29.5,31.3,31.3,74.0,8.1
Delhi,16,28.8,29.8,31.8,71.0,8.0
Delhi,17,36.6,55.9,30.4,80.0,8.2
Delhi,18,41.2,53.3,30.7,78.0,6.4
Delhi,19,44.9,51.5,30.2,82.0,6.7
Delhi,20,44.9,48.1,29.9,84.0,6.5
Delhi,21,43.2,44.4,29.6,85.0,8.8
Delhi,22,40.7,41.2,29.4,85.0,9.3
Delhi,23,40.3,40.4,26.7,90.0,11.0
Delhi,0,37.4,37.6,26.9,91.0,11.2
Delhi,1,35.0,35.5,27.0,92.0,9.0
Delhi,2,34.6,35.4,27.0,93.0,6.6
Delhi,3,35.3,36.6,26.9,94.0,6.2
Delhi,4,35.9,37.5,26.9,94.0,6.8
Delhi,5,44.2,45.3,27.1,96.0,9.2
Delhi,6,45.2,46.4,26.5,96.0,10.0
Delhi,7,43.0,44.9,27.1,94.0,6.3
Delhi,8,39.3,69.8,28.8,85.0,7.9
Delhi,9,39.9,79.6,30.6,76.0,8.6
Delhi,10,38.1,61.9,32.0,68.0,8.3
Delhi,11,37.7,53.8,33.7,59.0,7.5
Delhi,12,36.3,47.4,33.4,61.0,7.4
Delhi,13,34.5,42.0,32.4,65.0,8.3
Delhi,14,35.3,40.6,32.5,68.0,7.5
Delhi,15,36.9,40.5,33.0,65.0,6.7
Delhi,16,35.6,38.2,33.0,64.0,7.5
Delhi,17,29.8,30.6,29.2,84.0,3.6
Delhi,18,33.8,34.7,27.9,90.0,10.0
Delhi,19,37.7,38.4,27.5,94.0,3.1
Delhi,20,36.8,37.4,27.7,95.0,5.2
Delhi,21,37.0,37.7,27.9,96.0,4.7
Delhi,22,38.4,39.3,27.9,97.0,6.8
Delhi,23,37.4,38.5,28.8,96.0,6.8
Delhi,0,35.6,37.3,28.5,97.0,7.2
Delhi,1,34.5,36.6,28.3,96.0,7.7
Delhi,2,32.6,35.0,27.7,94.0,8.4
Delhi,3,28.8,31.5,27.4,94.0,7.6
Delhi,4,27.0,29.7,27.3,95.0,7.7
Delhi,5,25.8,27.9,27.7,95.0,8.3
Delhi,6,28.9,31.5,27.1,97.0,2.3
Delhi,7,31.3,34.3,27.7,93.0,7.3
Delhi,8,31.1,33.8,28.7,87.0,4.2
Delhi,9,30.9,32.9,29.6,81.0,2.7
Delhi,10,29.9,31.8,30.8,77.0,4.7
Delhi,11,31.7,33.5,31.7,71.0,5.4
Delhi,12,31.3,32.8,33.3,65.0,6.7
Delhi,13,30.7,32.0,34.1,62.0,7.5
Delhi,14,32.2,33.4,31.9,68.0,12.5
Delhi,15,31.9,32.8,31.6,74.0,2.4
Delhi,16,31.3,32.0,31.3,74.0,6.0
Delhi,17,44.6,45.8,33.3,67.0,9.3
Delhi,18,48.3,49.0,30.6,75.0,7.7
Delhi,19,57.0,57.4,27.4,93.0,4.0
Delhi,20,65.7,65.9,27.4,95.0,6.5
Delhi,21,70.8,71.0,27.4,94.0,2.3
Delhi,22,78.5,78.7,27.2,94.0,2.4
Delhi,23,76.4,76.6,26.7,97.0,4.1
Delhi,0,75.2,75.4,27.1,96.0,6.4
Delhi,1,63.6,63.8,27.0,97.0,7.2
Delhi,2,54.9,55.3,26.7,98.0,5.8
Delhi,3,45.4,45.6,26.7,97.0,4.9
Delhi,4,38.3,38.4,26.7,97.0,3.6
Delhi,5,36.2,36.4,27.0,96.0,8.4
Delhi,6,35.9,36.2,26.6,97.0,8.5
Delhi,7,31.5,32.0,27.1,93.0,1.9
Delhi,8,27.3,27.8,28.0,88.0,2.9
Delhi,9,26.3,27.0,29.7,79.0,4.7
Delhi,10,27.6,28.5,30.6,77.0,3.2
Delhi,11,28.4,29.3,28.9,85.0,5.4
Delhi,12,27.7,28.6,28.2,91.0,4.4
Delhi,13,27.1,28.1,28.8,85.0,7.1
Delhi,14,27.1,28.1,29.1,84.0,7.6
Delhi,15,27.8,28.8,29.5,82.0,5.5
Delhi,16,36.9,38.3,29.1,83.0,3.7
Delhi,17,33.1,33.8,27.5,92.0,1.5
Delhi,18,37.8,38.4,27.3,94.0,1.9
Delhi,19,51.9,52.4,27.2,95.0,1.0
Delhi,20,62.2,62.4,27.3,96.0,1.5
Delhi,21,68.5,68.7,27.3,96.0,1.6
Delhi,22,76.1,76.6,27.1,96.0,1.1
Delhi,23,75.2,75.4,27.7,96.0,2.2
Delhi,0,65.9,66.1,27.5,97.0,2.7
Delhi,1,60.1,60.3,27.4,99.0,1.8
Delhi,2,57.7,58.0,27.4,93.0,1.5
Delhi,3,56.6,56.8,27.0,92.0,2.6
Delhi,4,55.9,56.1,26.4,96.0,3.3
Delhi,5,71.9,72.4,26.1,95.0,2.2
Delhi,6,68.2,68.7,25.7,95.0,2.0
Delhi,7,57.9,58.3,26.8,94.0,2.8
Delhi,8,47.6,48.1,28.5,85.0,2.2
Delhi,9,37.6,38.4,30.0,77.0,3.7
Delhi,10,35.7,36.7,31.3,69.0,4.7
Delhi,11,37.6,38.8,31.6,71.0,3.6
Delhi,12,40.0,41.4,31.1,72.0,4.4
Delhi,13,43.0,44.4,31.9,69.0,5.0
Delhi,14,49.7,80.8,31.8,68.0,5.7
Delhi,15,42.8,52.5,33.0,62.0,6.9
Delhi,16,39.3,45.8,32.7,63.0,4.5
Delhi,17,46.1,54.0,28.3,94.0,5.3
Delhi,18,54.0,59.3,28.4,88.0,4.6
Delhi,19,64.5,67.8,28.1,90.0,7.0
Delhi,20,65.2,68.0,27.6,92.0,6.7
Delhi,21,65.7,69.2,27.8,93.0,5.3
Delhi,22,70.1,74.3,27.8,95.0,4.4
Delhi,23,74.7,79.6,27.3,100.0,5.4
Delhi,0,70.5,74.7,27.3,96.0,2.6
Delhi,1,61.2,64.5,26.4,95.0,5.6
Delhi,2,62.4,64.7,26.5,96.0,3.8
Delhi,3,60.5,62.9,26.8,95.0,4.4
Delhi,4,57.7,60.5,26.9,97.0,5.4
Delhi,5,68.7,71.7,27.4,95.0,3.5
Delhi,6,70.3,72.6,27.5,94.0,2.7
Delhi,7,75.0,76.4,27.7,92.0,6.7
Delhi,8,70.1,71.2,27.3,90.0,7.0
Delhi,9,54.6,55.3,27.0,88.0,3.6
Delhi,10,45.3,46.4,26.7,87.0,1.6
Delhi,11,44.6,46.7,26.8,85.0,1.8
Delhi,12,44.9,48.8,28.0,80.0,3.0
Delhi,13,47.4,52.7,27.5,84.0,4.6
Delhi,14,51.9,68.2,27.3,85.0,5.5
Delhi,15,50.9,62.2,27.2,87.0,5.5
Delhi,16,57.6,67.1,27.8,84.0,6.9
Delhi,17,31.8,33.3,27.7,90.0,8.9
Delhi,18,32.7,33.6,27.5,91.0,7.4
Delhi,19,34.8,35.6,27.3,92.0,5.2
Delhi,20,37.0,38.0,27.1,93.0,4.7
Delhi,21,37.6,38.5,27.0,94.0,5.7
Delhi,22,39.1,40.0,26.9,94.0,5.9
Delhi,23,39.9,41.0,26.7,93.0,8.7
Delhi,0,36.6,37.7,26.0,97.0,8.0
Delhi,1,34.7,35.9,26.0,97.0,3.3
Delhi,2,31.8,32.2,26.0,98.0,4.2
Delhi,3,28.5,28.7,25.9,99.0,6.0
Delhi,4,25.6,25.7,25.9,95.0,6.9
Delhi,5,35.0,35.2,26.3,97.0,3.9
Delhi,6,36.9,37.1,26.2,98.0,6.1
Delhi,7,38.4,38.6,25.9,96.0,7.8
Delhi,8,43.3,43.5,26.5,94.0,9.7
Delhi,9,49.0,49.1,26.6,92.0,12.4
Delhi,10,32.5,32.7,27.0,92.0,11.1
Delhi,11,26.7,27.0,27.3,90.0,14.6
Delhi,12,26.7,26.9,26.4,96.0,11.8
Delhi,13,25.8,26.0,27.2,95.0,12.0
Delhi,14,28.1,28.3,28.4,89.0,10.5
Delhi,15,29.2,29.4,29.5,82.0,11.1
Delhi,16,29.0,29.3,28.6,79.0,12.6
Delhi,17,34.6,35.2,27.2,92.0,9.8
Delhi,18,35.6,36.2,27.0,93.0,8.2
Delhi,19,36.0,36.4,26.7,95.0,7.7
Delhi,20,34.7,35.2,26.4,95.0,12.1
Delhi,21,35.2,35.5,25.7,97.0,11.7
Delhi,22,36.3,36.6,25.7,96.0,9.3
Delhi,23,37.7,38.0,25.9,97.0,2.3
Delhi,0,38.3,38.5,26.0,98.0,7.2
Delhi,1,39.6,39.7,25.8,96.0,10.3
Delhi,2,41.4,41.6,25.3,96.0,6.8
Delhi,3,41.9,42.1,24.9,99.0,7.6
Delhi,4,43.9,44.0,24.8,99.0,6.5
Delhi,5,44.9,45.5,25.5,96.0,2.2
Delhi,6,47.4,48.1,25.6,96.0,10.5
Delhi,7,47.5,48.7,26.0,95.0,6.9
Delhi,8,44.2,45.9,27.3,93.0,4.8
Delhi,9,39.0,41.4,29.6,85.0,6.5
Delhi,10,35.7,38.8,31.1,77.0,12.6
Delhi,11,37.8,41.3,29.6,80.0,13.3
Delhi,12,36.1,38.8,31.2,74.0,12.4
Delhi,13,43.4,45.9,30.8,73.0,12.9
Delhi,14,39.7,41.6,30.7,76.0,7.0
Delhi,15,37.1,38.4,32.3,66.0,8.1
Delhi,16,36.6,37.5,32.2,66.0,7.4
Delhi,17,36.3,49.4,31.1,73.0,8.6
Delhi,18,42.8,49.5,30.3,78.0,6.5
Delhi,19,48.3,52.7,29.4,82.0,5.9
Delhi,20,56.5,60.8,29.1,85.0,4.0
Delhi,21,56.7,61.5,28.9,87.0,6.4
Delhi,22,49.4,56.1,28.6,87.0,5.4
Delhi,23,47.1,53.8,29.1,89.0,2.6
Delhi,0,48.4,53.3,28.5,90.0,3.1
Delhi,1,47.6,50.8,28.2,90.0,2.9
Delhi,2,45.4,47.0,27.2,92.0,5.8
Delhi,3,44.0,44.6,26.9,94.0,5.2
Delhi,4,43.8,43.9,26.6,95.0,4.8
Delhi,5,53.6,54.2,25.3,97.0,4.7
Delhi,6,50.8,51.1,26.0,96.0,3.5
Delhi,7,46.1,46.2,27.3,93.0,1.8
Delhi,8,42.1,42.3,29.2,85.0,3.1
Delhi,9,38.2,38.4,30.8,79.0,5.1
Delhi,10,37.5,37.7,31.7,74.0,6.5
Delhi,11,36.9,37.1,32.6,68.0,8.9
Delhi,12,36.6,37.0,32.9,66.0,6.1
Delhi,13,41.6,71.0,33.6,62.0,4.8
Delhi,14,42.0,65.2,33.9,61.0,4.4
Delhi,15,41.2,57.6,34.1,61.0,2.2
Delhi,16,41.3,54.6,33.8,61.0,3.3
Delhi,17,48.0,48.4,34.0,60.0,3.3
Delhi,18,60.5,61.0,32.0,71.0,4.4
Delhi,19,83.4,83.8,30.9,80.0,4.4
Delhi,20,107.8,108.0,30.4,82.0,4.7
Delhi,21,128.1,128.1,30.0,83.0,4.0
Delhi,22,140.6,140.6,29.6,85.0,3.7
Delhi,23,130.4,130.4,30.3,80.0,7.4
Delhi,0,100.1,100.4,29.3,85.0,3.1
Delhi,1,74.3,74.5,27.4,92.0,9.0
Delhi,2,59.1,59.3,27.1,92.0,4.4
Delhi,3,53.0,53.1,27.4,93.0,4.1
Delhi,4,50.3,50.4,27.7,93.0,4.6
Delhi,5,37.8,38.0,27.8,90.0,8.1
Delhi,6,36.0,36.2,27.4,91.0,6.6
Delhi,7,32.4,32.6,27.5,89.0,5.0
Delhi,8,29.9,30.0,28.5,85.0,6.0
Delhi,9,28.9,29.1,29.7,80.0,7.6
Delhi,10,30.6,30.7,31.1,74.0,5.5
Delhi,11,31.5,33.1,33.0,64.0,6.2
Delhi,12,32.9,36.9,33.0,66.0,4.9
Delhi,13,36.2,60.8,29.5,81.0,13.6
Delhi,14,37.8,47.7,28.4,89.0,2.0
Delhi,15,39.6,47.5,29.2,86.0,1.9
Delhi,16,40.5,46.2,29.6,83.0,2.7
Delhi,17,52.5,54.4,29.9,82.0,8.5
Delhi,18,56.9,57.6,29.4,85.0,6.2
Delhi,19,58.8,59.0,28.9,88.0,6.0
Delhi,20,65.0,65.0,28.6,90.0,5.3
Delhi,21,70.8,71.0,28.6,91.0,3.4
Delhi,22,77.1,77.5,28.5,92.0,3.2
Delhi,23,77.3,77.8,27.9,95.0,6.0
Delhi,0,77.3,77.8,27.7,95.0,9.6
Delhi,1,76.6,77.1,27.5,94.0,8.5
Delhi,2,74.5,75.2,27.3,95.0,8.8
Delhi,3,71.9,72.6,27.1,96.0,7.6
Delhi,4,65.4,65.9,27.3,90.0,7.8
Delhi,5,51.9,52.3,26.8,94.0,7.2
Delhi,6,47.4,47.6,27.0,93.0,7.3
Delhi,7,50.5,50.9,27.6,90.0,8.1
Delhi,8,44.9,45.3,28.5,87.0,5.7
Delhi,9,40.3,40.4,29.0,85.0,5.6
Delhi,10,37.5,37.7,30.1,81.0,4.3
Delhi,11,38.5,38.8,30.0,81.0,4.0
Delhi,12,39.8,40.3,28.2,88.0,7.7
Delhi,13,39.6,39.9,28.3,92.0,5.4
Delhi,14,38.0,38.3,29.2,89.0,4.8
Delhi,15,36.4,36.7,30.3,83.0,5.5
Delhi,16,37.0,37.3,30.5,79.0,5.0
Delhi,17,45.2,45.3,30.4,79.0,3.8
Delhi,18,47.4,47.5,30.2,80.0,2.7
Delhi,19,58.9,59.0,29.3,87.0,3.1
Delhi,20,74.7,75.0,28.9,89.0,4.4
Delhi,21,86.6,86.8,28.7,89.0,3.6
Delhi,22,102.7,102.9,28.3,90.0,4.4
Delhi,23,111.3,111.5,28.7,87.0,4.9
Delhi,0,109.0,109.2,28.4,88.0,3.1
Delhi,1,110.4,110.6,28.3,89.0,0.5
Delhi,2,116.9,117.1,27.8,91.0,2.8
Delhi,3,122.0,122.0,27.4,93.0,3.6
Delhi,4,114.6,114.6,27.1,95.0,2.4
Delhi,5,92.2,92.2,27.5,97.0,2.2
Delhi,6,93.6,93.8,27.4,97.0,2.9
Delhi,7,75.0,75.2,28.5,92.0,2.7
Delhi,8,54.5,54.6,30.0,82.0,3.1
Delhi,9,40.4,40.6,31.2,74.0,3.4
Delhi,10,40.6,40.9,32.1,69.0,2.7
Delhi,11,42.8,43.2,33.0,64.0,3.5
Delhi,12,44.6,44.9,33.6,63.0,2.3
Delhi,13,46.4,46.9,34.1,60.0,1.9
Delhi,14,47.7,48.1,34.5,59.0,0.2
Delhi,15,47.7,48.1,34.7,59.0,0.2
Delhi,16,48.8,49.1,34.4,60.0,0.0
Delhi,17,43.9,46.7,34.3,61.0,3.5
Delhi,18,65.4,67.5,31.9,73.0,5.8
Delhi,19,82.4,85.2,30.0,83.0,8.1
Delhi,20,85.9,89.2,28.7,87.0,5.9
Delhi,21,87.3,89.4,28.6,91.0,6.3
Delhi,22,81.5,81.7,28.5,92.0,5.0
Delhi,23,77.3,77.3,30.0,84.0,5.8
Delhi,0,66.8,66.8,29.3,87.0,3.8
Delhi,1,61.2,61.2,29.0,88.0,4.2
Delhi,2,55.4,55.4,28.8,88.0,4.3
Delhi,3,47.5,47.5,28.5,89.0,5.6
Delhi,4,41.1,41.2,28.1,92.0,3.1
Delhi,5,51.5,51.5,27.3,95.0,5.1
Delhi,6,50.3,50.9,26.9,94.0,10.1
Delhi,7,47.3,48.7,28.1,90.0,6.3
Delhi,8,44.2,47.8,30.1,80.0,3.8
Delhi,9,46.0,73.8,31.6,75.0,4.1
Delhi,10,44.4,53.9,32.6,71.0,2.7
Delhi,11,42.3,48.9,33.3,67.0,3.1
Delhi,12,41.8,46.7,34.2,64.0,3.5
Delhi,13,39.6,42.8,33.5,63.0,8.2
Delhi,14,37.5,39.6,32.8,68.0,3.9
Delhi,15,37.8,74.5,33.7,66.0,5.1
Delhi,16,41.7,110.8,33.5,67.0,4.8
Delhi,17,37.6,47.1,30.2,87.0,3.8
Delhi,18,46.0,52.7,30.3,85.0,1.8
Delhi,19,54.8,61.9,29.9,89.0,3.8
Delhi,20,63.6,71.7,30.0,89.0,2.7
Delhi,21,76.8,86.6,30.1,88.0,2.5
Delhi,22,83.6,90.8,29.9,88.0,3.3
Delhi,23,74.0,78.5,30.5,88.0,2.1
Delhi,0,73.6,75.4,30.0,88.0,3.1
Delhi,1,72.6,74.0,29.6,89.0,4.2
Delhi,2,72.4,73.8,29.4,89.0,3.9
Delhi,3,71.5,73.3,29.2,89.0,4.0
Delhi,4,71.7,73.6,28.9,90.0,4.6
Delhi,5,61.2,65.9,27.5,96.0,0.7
Delhi,6,59.4,68.2,26.8,98.0,3.8
Delhi,7,51.3,62.9,27.2,96.0,4.1
Delhi,8,48.5,61.7,28.2,91.0,2.8
Delhi,9,43.5,64.5,28.8,85.0,3.7
Delhi,10,42.8,65.2,29.8,81.0,1.2
Delhi,11,40.3,59.8,30.4,79.0,2.4
Delhi,12,38.4,55.1,30.6,80.0,1.5
Delhi,13,38.8,53.8,31.2,78.0,2.6
Delhi,14,39.5,53.0,30.3,80.0,5.4
Delhi,15,39.2,50.6,29.1,85.0,1.5
Delhi,16,37.8,46.1,29.4,84.0,0.9
Delhi,17,46.2,60.3,29.9,80.0,4.1
Delhi,18,50.2,61.0,29.3,83.0,3.6
Delhi,19,66.4,75.0,28.7,87.0,4.2
Delhi,20,79.2,87.1,28.3,89.0,4.5
Delhi,21,89.4,96.9,28.2,89.0,1.7
Delhi,22,91.7,97.8,28.1,90.0,2.7
Delhi,23,93.6,98.7,28.3,88.0,3.3
Delhi,0,95.2,99.9,28.0,90.0,1.8
Delhi,1,93.6,97.8,27.7,92.0,2.4
Delhi,2,94.1,97.6,27.5,93.0,1.9
Delhi,3,94.5,98.0,27.3,93.0,2.2
Delhi,4,95.7,99.0,27.2,94.0,0.2
Delhi,5,97.1,106.9,26.7,95.0,4.7
Delhi,6,93.4,102.7,26.5,99.0,3.1
Delhi,7,85.2,96.4,26.5,98.0,2.1
Delhi,8,65.0,77.8,27.5,93.0,2.7
Delhi,9,52.6,65.7,28.0,89.0,2.4
Delhi,10,51.0,63.3,29.6,82.0,0.8
Delhi,11,49.5,60.8,32.3,71.0,5.5
Delhi,12,48.8,59.0,31.8,70.0,8.7
Delhi,13,48.4,57.7,30.6,80.0,5.5
Delhi,14,44.9,53.0,32.3,71.0,4.6
Delhi,15,42.7,49.5,32.7,64.0,8.3
Delhi,16,41.0,47.5,32.5,67.0,6.4
Delhi,17,43.8,71.2,31.9,73.0,9.6
Delhi,18,56.5,83.8,31.3,78.0,4.8
Delhi,19,72.9,106.4,30.7,82.0,4.9
Delhi,20,83.1,120.6,30.3,85.0,5.0
Delhi,21,90.6,133.6,30.0,87.0,3.8
Delhi,22,103.6,152.3,29.7,88.0,3.1
Delhi,23,110.6,162.5,29.6,83.0,8.4
Delhi,0,104.3,157.4,29.1,86.0,7.0
Delhi,1,94.1,154.6,28.8,88.0,4.9
Delhi,2,92.7,157.4,28.6,88.0,9.0
Delhi,3,91.5,144.4,26.1,93.0,8.0
Delhi,4,77.3,113.6,26.4,92.0,8.0
Delhi,5,65.4,269.2,28.0,86.0,10.3
Delhi,6,74.5,301.7,27.7,85.0,10.6
Delhi,7,82.4,312.0,28.7,80.0,10.7
Delhi,8,87.3,354.8,29.5,78.0,8.8
Delhi,9,96.2,476.8,30.2,76.0,6.5
Delhi,10,92.9,470.3,31.9,70.0,6.1
Delhi,11,75.7,299.9,32.6,67.0,7.2
Delhi,12,68.7,245.9,33.3,65.0,7.2
Delhi,13,66.1,244.9,33.5,65.0,5.7
Delhi,14,68.2,264.5,33.6,65.0,7.2
Delhi,15,68.5,274.7,33.5,64.0,10.4
Delhi,16,66.6,256.1,33.2,65.0,6.7
Delhi,17,91.3,440.5,31.6,74.0,4.5
Delhi,18,95.2,359.5,31.2,78.0,2.2
Delhi,19,106.4,370.7,30.6,81.0,4.3
Delhi,20,105.7,333.4,29.9,84.0,7.0
Delhi,21,92.0,252.4,29.5,87.0,5.7
Delhi,22,82.4,198.4,29.1,88.0,6.6
Delhi,23,71.9,191.9,29.5,84.0,5.5
Delhi,0,70.1,172.3,29.0,84.0,4.8
Delhi,1,70.3,149.9,28.5,87.0,7.7
Delhi,2,68.7,144.4,28.2,87.0,6.0
Delhi,3,73.3,156.9,28.2,85.0,7.4
Delhi,4,75.2,158.3,28.0,84.0,8.3
Delhi,5,64.3,173.7,28.4,82.0,7.6
Delhi,6,58.8,187.2,28.0,84.0,7.3
Delhi,7,53.4,172.8,28.8,79.0,9.6
Delhi,8,47.6,165.3,29.4,76.0,10.0
Delhi,9,42.7,143.9,30.3,74.0,7.7
Delhi,10,56.7,277.5,31.4,71.0,8.3
Delhi,11,71.7,402.3,32.7,65.0,10.7
